Name,DOB,Dates,City/Province,Country/Province,Masterpiece,LAT,LON,Events
Filippino Lippi,1457,c.1457–1504,Prato,Tuscany,"The Life of St. Peter,",43.88,11.098333,"Aug 14 Oldest known exactly dated printed book (c 3 years after Gutenberg); Aug 15 Earliest dated book, ""Mainz Psalter,"" completed;  Jan 28 Henry VII, Pembroke Castle, 1st Tudor king of England (1485-1509) is born; Feb 13 Mary of Burgundy, daughter of Charles the Bold and wife of Maximilian I, Holy Roman Emperor, born in Brussels, Burgundian Netherlands (d. 1482); Mar 14 Jingtai, 7th Emperor of the Ming dynasty of China (1449-57), dies at 28"
atthias_Grünewald,1470,c.1470–1528,Würzburg,Bavaria,The Isenheim Altarpiece,49.783333,9.933333,"Oct 30 Wars of the Roses: Henry VI of England returns to the English throne after Earl of Warwick defeats Yorkists in battle; May 14 Charles VIII of Sweden, King of Sweden (1448–57, 1464–65 and 1467-70) and Norway (1449–50), dies at 60"
Albrecht Durer,1471,1471–1528,Nuremberg,Germany,Adoration of the Trinity,49.45,11.083333,"Apr 14 Wars of the Roses: Battle of Barnet - Yorkists defeat the Lancastrians and kill the Earl of Warwick; Feb 15 Piero di Lorenzo de' Medici, ruler of Florence (d. 1503) is born; Mar 24 Thomas Malory, author (Le Morte d'Arthur), dies at 55"
Lucas Cranach the Elder,1472,1472–1553,Kronach,Germany,The Altarpiece of St. Catherine,50.241111,11.328056,"Apr 5 Bianca Maria Sforza, wife of Maximilian I, Holy Roman Emperor, born in Pavia, Italy (d. 1510); Jul 12 Richard Plantagenet, Duke of Gloucester and later King of England, marries Anne Neville, daughter of the Earl of Warwick, in Westminster Abbey."
Michelangelo,1475,1475–1570,Caprese,Tuscany,"David, Accademia, Florence",43.633333,11.983333,"Jan 10 Stephen III of Moldavia defeats the Ottoman Empire at the Battle of Vaslui; Leo X
(1475 - 1521) is born; May 6 Dieric Bouts, Dutch painter, dies at about 64"
Giorgione,1477,c.1477—1510,,Tuscany,The Tempest,43.771389,11.254167,"Nov 18 First English dated printed book ""Dictes & Sayengis of the Phylosophers"" by William Caxton; Aug 16 Maximilian I, Holy Roman Emperor, weds Mary of Burgundy, the heiress to the Duchy of Burgundy in Ghent, Belgium; Jan 5 Charles, the Bold, Duke of Burgundy, dies at the Battle of Nancy at 43"
Jean Clouet,1480,1480–1541,Brussels?,Belgium,François I of France,50.85,4.35,"Oct 8 Great standing on the Ugra river, standoff between forces of Akhmat Khan, Khan of the Great Horde, and Ivan III Grand Prince of all Rus, Tataro-Mongols retreat, leads to disintegration of the Horde; Aug 12 Battle of Otranto - Ottoman troops behead 800 Christians for refusing to convert to Islam; Ferdinand Magellan (1480 - 1521) is born; Jun 6 Vecchietta, Italian artist and architect dies"
Albrecht Altdorfer,1480,c.1480–1538,Regensburg,Bavaria,Battle of Issus,49.01666,12.083333,"Oct 8 Great standing on the Ugra river, standoff between forces of Akhmat Khan, Khan of the Great Horde, and Ivan III Grand Prince of all Rus, Tataro-Mongols retreat, leads to disintegration of the Horde; Aug 12 Battle of Otranto - Ottoman troops behead 800 Christians for refusing to convert to Islam; Ferdinand Magellan (1480 - 1521) is born; Jun 6 Vecchietta, Italian artist and architect dies"
Raphael,1483,1483–1525,Urbino,Marche,"The School of Athens, Vatican",43.716667,12.633333,"Apr 9 Edward V (aged 12) succeeds his father Edward IV as king of England. He is never crowned, and disappears presumed murdered, after incarceration in the Tower of London with his younger brother Richard (the ""Princes in the Tower""); Jul 6 Richard III is crowned King of England after deposing Edward V; Martin Luther (1483 - 1546) is born; Edward IV (1442 - 1483) dies; Louis XI
(1423 - 1483) dies; "
Titian,1485,c.1485–1576,Pieve di Cadore,Italy,"The Assumption of the Blessed Virgin Mary,",46.433333,12.366667,"Aug 22 Battle of Bosworth Field: Henry Tudor's forces defeat English King Richard III during last battle in the Wars of the Roses. Richard is killed, the last English monarch to die in battle.; Oct 30 Henry VII of England crowned at Westminster Abbey; Catherine of Aragon (1485 - 1536) is born; "
Andrea del Sarto,1486,1486–1531,Gualfonda,Tuscany,"Last Supper in San Salvi, Vallombrosan Abbey (outskirts of Florence)",43.771389,11.254167,"Feb 16 Maximilian I is elected King of the Romans at Frankfurt; Jan 6 Martin Agricola [M Sore], German composer & cantor, born in ?wiebodzin, Poland (d. 1556); Jan 18 King Henry VII of England marries Elizabeth, daughter of Edward IV; Mar 30 Thomas Bourchier, Archbishop of Canterbury dies;"
Pontormo,1494,1494—1557,Empoli,Tuscany,The Deposition,46.433333,12.366667,"Jan 6 The first Mass in the New World is celebrated at La Isabela, Hispaniola;  May 5 On 2nd voyage to New World Christopher Columbus sights Jamaica, landing at Discovery Bay; Jun 7 Treaty of Tordesillas: Spain and Portugal divide the new world along a meridian 370 leagues west of the Cape Verde islands, off the west coast of Africa; Nov 18 French King Charles VIII occupies Florence; Jan 11 Domenico Ghirlandaio, Italian artist (b. 1449) dies; Aug 11 Hans Memling [John Memlinc], Flemish painter (Passietaferelen), dies;"
Hans Holbein the Younger,1497,c.1497–1543,Augsburg,Bavaria,The Ambassadors,48.366667,10.9,"May 10 Italian navigator Amerigo Vespucci leaves for his first voyage to the New World (disputed); Aug 10 John Cabot tells King Henry VII of his trip to ""Asia""; Feb 6 John Ockeghem, Flemish singer/composer, dies at 79; Jul 22 Francesco Botticini, Italian painter, dies at about 52"
Benvenuto Cellini,1500,1500–1571,Florence,Italy,Perseus with the Head of Medusa,43.771389,11.254167,"Apr 22 Pedro Álvares Cabral is the first european to discover Brazil, landing near Monte Pascoal, claims it for Portugal; Jun 25 Pope Alexander VI accept Treaty of Granada; Charles V (1500 - 1558) is born; "
Giovanni Bellini,1430,c.1430–1520,Venice,Italy,"San Zaccaria Altarpiece, Church",45.4375,12.335833,"Jan 1 Jews of Sicily are no longer required to attend conversionist services; Jan 10 Catholic Order of the Golden Fleece founded in Bruges in celebration of the prosperous and wealthy domains of Philip the Good, Duke of Burgundy; May 23 Joan of Arc is captured at Compiegne and sold to the English; Jan 10 Duke Philip the Good marries Isabella of Portugal"
